abandon                   | ['terk etmek', 'vazgeçmek'] | freq: 1
abundant                  | ['bol', 'bereketli'] | freq: 1
achieve                   | ['başarmak', 'elde etmek'] | freq: 4
achievement               | ['başarı', 'elde etme'] | freq: 3
adopt                     | ['benimsemek', 'kabul etmek'] | freq: 5
advocate                  | ['savunmak', 'desteklemek'] | freq: 1
aggregate                 | ['toplam', 'bir araya getirmek'] | freq: 0
along with                | ['ile birlikte', 'yanı sıra'] | freq: 4
alter                     | ['değiştirmek', 'başkalaşmak'] | freq: 6
apply                     | ['başvurmak', 'uygulamak'] | freq: 7
arise                     | ['ortaya çıkmak', 'kaynaklanmak'] | freq: 4
as long as                | ['-dığı sürece', '-diği takdirde'] | freq: 3
as to                     | ['-e dair', 'konusunda'] | freq: 6
assume                    | ['varsaymak', 'üstlenmek'] | freq: 1
attach                    | ['eklemek', 'bağlamak'] | freq: 9
attitude                  | ['tutum', 'davranış'] | freq: 8
attribute                 | ['atfetmek', 'bağlamak'] | freq: 7
available                 | ['mevcut', 'hazır'] | freq: 9
breakoff                  | ['koparmak', 'ilişkiyi kesmek'] | freq: 1
brief                     | ['kısa', 'özet'] | freq: 3
bulk                      | ['büyük miktar', 'yığın'] | freq: 0
capable                   | ['yapabilen', 'kabiliyetli'] | freq: 4
capture                   | ['yakalamak', 'ele geçirmek'] | freq: 3
cease                     | ['sona ermek', 'durdurmak'] | freq: 3
change                    | ['değiştirmek', 'değişmek'] | freq: 10
circulate                 | ['dolaşmak', 'devretmek'] | freq: 2
combine                   | ['birleştirmek', 'birleşmek'] | freq: 8
commit                    | ['adamak', 'taahhüt etmek'] | freq: 1
communicate               | ['iletişim kurmak', 'iletmek'] | freq: 4
conceive                  | ['düşünmek', 'tasarlamak'] | freq: 0
conclude                  | ['sonuçlandırmak', 'sonuca varmak'] | freq: 2
conduct                   | ['yürütmek', 'yönetmek'] | freq: 6
confirm                   | ['onaylamak', 'doğrulamak'] | freq: 3
conflict                  | ['çelişmek', 'çatışmak'] | freq: 6
consequence               | ['sonuç', 'netice'] | freq: 4
considerable              | ['hatırı sayılır', 'önemli'] | freq: 4
consist                   | ['oluşmak', 'meydana gelmek'] | freq: 8
constraint                | ['kısıtlama', 'engel'] | freq: 1
contract                  | ['sözleşme', 'kasılmak'] | freq: 0
contribute                | ['katkıda bulunmak', 'bağış yapmak'] | freq: 6
contribution              | ['katkı', 'bağış'] | freq: 8
convertible               | ['dönüştürülebilir', 'çevrilebilir'] | freq: 1
course                    | ['rota', 'akış'] | freq: 5
cover                     | ['kapsamak', 'kaplamak'] | freq: 5
criterion                 | ['kriter', 'ölçüt'] | freq: 0
current                   | ['akım', 'akıntı'] | freq: 10
debate                    | ['tartışma', 'müzakere'] | freq: 7
