passage                   | Original: paragraf, metin, geçit                             | Simplified: paragraf, metin
world                     | Original: dünya, alem, yeryüzü                               | Simplified: dünya, alem
earth                     | Original: dünya, toprak, yeryüzü                             | Simplified: dünya, toprak
develop                   | Original: geliştirmek, gelişmek, ortaya çıkarmak             | Simplified: geliştirmek, gelişmek
use                       | Original: kullanmak, yararlanmak, tüketmek                   | Simplified: kullanmak, yararlanmak
change                    | Original: değiştirmek, değişmek, takas etmek                 | Simplified: değiştirmek, değişmek
read                      | Original: okumak, oku, anlaşılmak                            | Simplified: okumak, anlaşılmak
cause                     | Original: neden olmak, sebep olmak, yol açmak                | Simplified: neden olmak, sebep olmak
while                     | Original: iken, o sırada, -e rağmen, sırasında               | Simplified: iken, o sırada
make                      | Original: yapmak, etmek, oluşturmak                          | Simplified: yapmak, etmek
way                       | Original: yol, yöntem, tarz                                  | Simplified: yol, yöntem
form                      | Original: biçimlendirmek, oluşturmak, biçim                  | Simplified: biçimlendirmek, oluşturmak
become                    | Original: olmak, hale gelmek, yaraşmak                       | Simplified: olmak, hale gelmek
number                    | Original: sayı, rakam, numara                                | Simplified: sayı, rakam
include                   | Original: içermek, katmak, dahil etmek                       | Simplified: içermek, katmak
live                      | Original: yaşamak, canlı, yaşayan                            | Simplified: yaşamak, canlı
produce                   | Original: üretmek, neden olmak, yetiştirmek                  | Simplified: üretmek, neden olmak
provide                   | Original: sağlamak, tedarik etmek, koşul koymak              | Simplified: sağlamak, tedarik etmek
create                    | Original: oluşturmak, ortaya çıkarmak, yaratmak              | Simplified: oluşturmak, ortaya çıkarmak
increase                  | Original: artmak, arttırmak, yükselmek                       | Simplified: artmak, arttırmak
mean                      | Original: anlamına gelmek, ortalama, anlam                   | Simplified: anlamına gelmek, ortalama
reduce                    | Original: azaltmak, düşürmek, indirgemek                     | Simplified: azaltmak, düşürmek
follow                    | Original: takip etmek, izlemek, uymak                        | Simplified: takip etmek, izlemek
battery                   | Original: pil, batarya, akü                                  | Simplified: pil, batarya
design                    | Original: tasarlamak, planlamak, çizim                       | Simplified: tasarlamak, planlamak
condition                 | Original: koşul, durum, şart                                 | Simplified: koşul, durum
intelligence              | Original: zeka, akıl, istihbarat                             | Simplified: zeka, akıl
order                     | Original: sıra, düzen, emir, sipariş                         | Simplified: sıra, düzen
crop                      | Original: mahsul, ürün, ekin                                 | Simplified: mahsul, ürün
development               | Original: gelişme, gelişim, kalkınma                         | Simplified: gelişme, gelişim
country                   | Original: ülke, memleket, vatan                              | Simplified: ülke, memleket
exist                     | Original: var olmak, bulunmak, hayatta kalmak                | Simplified: var olmak, bulunmak
impact                    | Original: etki, tesir, darbe                                 | Simplified: etki, tesir
improve                   | Original: geliştirmek, iyileştirmek, ilerlemek               | Simplified: geliştirmek, iyileştirmek
measure                   | Original: ölçmek, önlem, ölçü                                | Simplified: ölçmek, önlem
focus                     | Original: odaklanmak, odak, merkez                           | Simplified: odaklanmak, odak
building                  | Original: bina, yapı, inşaat                                 | Simplified: bina, yapı
seed                      | Original: tohum, çekirdek, aşılamak                          | Simplified: tohum, çekirdek
though                    | Original: rağmen, -e rağmen, yine de                         | Simplified: rağmen, -e rağmen
base                      | Original: temel, üs, dayandırmak                             | Simplified: temel, üs
have                      | Original: sahip olmak, elde etmek, yapmak                    | Simplified: sahip olmak, elde etmek
call                      | Original: çağırmak, adlandırmak, aramak                      | Simplified: çağırmak, adlandırmak
individual                | Original: birey, fert, şahıs                                 | Simplified: birey, fert
must                      | Original: -malı, -meli, zorunluluk                           | Simplified: -malı, -meli
suggest                   | Original: önermek, belirtmek, çağrıştırmak                   | Simplified: önermek, belirtmek
lead                      | Original: yol açmak, öncülük etmek, kurşun                   | Simplified: yol açmak, öncülük etmek
therefore                 | Original: bu yüzden, bundan dolayı, bu nedenle               | Simplified: bu yüzden, bundan dolayı
advance                   | Original: ilerleme, gelişme, avans                           | Simplified: ilerleme, gelişme
instrument                | Original: alet, araç, cihaz, enstrüman                       | Simplified: alet, araç
require                   | Original: gerektirmek, ihtiyaç duymak, talep etmek           | Simplified: gerektirmek, ihtiyaç duymak
wave                      | Original: dalga, dalgalamak, el sallamak                     | Simplified: dalga, dalgalamak
major                     | Original: büyük, önemli, ana                                 | Simplified: büyük, önemli
occur                     | Original: meydana gelmek, olmak, akla gelmek                 | Simplified: meydana gelmek, olmak
shift                     | Original: değiştirmek, vardiya, kaydırmak                    | Simplified: değiştirmek, vardiya
characteristic            | Original: özellik, karakteristik, nitelik                    | Simplified: özellik, karakteristik
home                      | Original: ev, yuva, vatan                                    | Simplified: ev, yuva
matter                    | Original: madde, konu, önem taşımak                          | Simplified: madde, konu
property                  | Original: özellik, nitelik, mülk                             | Simplified: özellik, nitelik
unless                    | Original: -medikçe, -madıkça, aksi takdirde                  | Simplified: -medikçe, -madıkça
vary                      | Original: çeşitlilik göstermek, değişmek, farklı olmak       | Simplified: çeşitlilik göstermek, değişmek
application               | Original: uygulama, başvuru, müracaat                        | Simplified: uygulama, başvuru
depend                    | Original: bağlı olmak, güvenmek, tabi olmak                  | Simplified: bağlı olmak, güvenmek
offer                     | Original: sunmak, teklif etmek, öneri                        | Simplified: sunmak, teklif etmek
remain                    | Original: kalmak, sürdürmek, arta kalmak                     | Simplified: kalmak, sürdürmek
reveal                    | Original: ortaya çıkarmak, ifşa etmek, göstermek             | Simplified: ortaya çıkarmak, ifşa etmek
as well as                | Original: yanı sıra, hem de, birlikte                        | Simplified: yanı sıra, hem de
clear                     | Original: açık, net, temizlemek                              | Simplified: açık, net
discover                  | Original: keşfetmek, bulmak, ortaya çıkarmak                 | Simplified: keşfetmek, bulmak
identify                  | Original: tanımlamak, belirlemek, teşhis etmek               | Simplified: tanımlamak, belirlemek
map                       | Original: harita, plan, haritasını çıkarmak                  | Simplified: harita, plan
warm                      | Original: ılık, ısıtmak, ısınmak                             | Simplified: ılık, ısıtmak
degree                    | Original: derece, rütbe, aşama                               | Simplified: derece, rütbe
grow                      | Original: büyümek, yetişmek, gelişmek                        | Simplified: büyümek, yetişmek
interest                  | Original: ilgi, alaka, çıkar, faiz                           | Simplified: ilgi, alaka
support                   | Original: desteklemek, katlanmak, geçindirmek                | Simplified: desteklemek, katlanmak
trait                     | Original: özellik, nitelik, kişisel özellik                  | Simplified: özellik, nitelik
current                   | Original: akım, akıntı, güncel                               | Simplified: akım, akıntı
define                    | Original: tanımlamak, belirlemek, açıklamak                  | Simplified: tanımlamak, belirlemek
event                     | Original: olay, hadise, gelişme                              | Simplified: olay, hadise
expand                    | Original: genişlemek, yayılmak, büyümek                      | Simplified: genişlemek, yayılmak
expose                    | Original: maruz bırakmak, açığa çıkarmak, ifşa etmek         | Simplified: maruz bırakmak, açığa çıkarmak
freeze                    | Original: donmak, dondurmak, durdurmak                       | Simplified: donmak, dondurmak
instance                  | Original: örnek, durum, misal                                | Simplified: örnek, durum
mass                      | Original: kütle, yığın, küme                                 | Simplified: kütle, yığın
reflect                   | Original: yansıtmak, düşünmek, belirtmek                     | Simplified: yansıtmak, düşünmek
vast                      | Original: geniş, muazzam, çok büyük                          | Simplified: geniş, muazzam
extensive                 | Original: geniş, kapsamlı, yaygın                            | Simplified: geniş, kapsamlı
learn                     | Original: öğrenmek, bellemek, haber almak                    | Simplified: öğrenmek, bellemek
main                      | Original: ana, temel, başlıca                                | Simplified: ana, temel
mainly                    | Original: esas olarak, çoğunlukla, daha çok                  | Simplified: esas olarak, çoğunlukla
report                    | Original: rapor, bildirmek, rapor etmek                      | Simplified: rapor, bildirmek
run                       | Original: çalıştırmak, işletmek, yönetmek, koşmak            | Simplified: çalıştırmak, işletmek
attitude                  | Original: tutum, davranış, tavır                             | Simplified: tutum, davranış
consist                   | Original: oluşmak, meydana gelmek, ibaret olmak              | Simplified: oluşmak, meydana gelmek
contribution              | Original: katkı, bağış, yardım                               | Simplified: katkı, bağış
